Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.217.1.2-192.168.10.20-443-61307-17,192.168.10.20,61307,172.217.1.2,443,17,7/9/2018 17:36,15029408,9,13,1814,11108,1350,23,201.55556,437.40831,1350,20,854.46154,654.11972,859.78104,1.4638,715686.0952,3258474.048,1.49E+07,0,1.50E+07,1875228.875,5277674.121,1.49E+07,19,1.50E+07,1252450.667,4318121.335,1.50E+07,0,0,0,0,0,72,104,0.59883,0.86497,20,1350,620.52174,656.72998,431294.2609,0,0,0,0,0,0,0,0,1,648.72727,201.55556,854.46154,0,0,0,0,0,0,9,1814,13,11108,-1,-1,9,0,65195,0,65195,65195,1.49E+07,0,1.49E+07,1.49E+07,No Label
192.168.1.1-192.168.10.20-53-55528-17,192.168.10.20,55528,192.168.1.1,53,17,7/9/2018 17:36,3691,0,2,0,228,0,0,0,0,196,32,114,115.96551,61771.87754,541.85857,3691,0,3691,3691,0,0,0,0,0,3691,3691,0,3691,3691,0,0,0,0,0,16,0,541.85857,32,196,86.66667,94.68544,8965.33333,0,0,0,0,0,0,0,0,0,130,0,114,0,0,0,0,0,0,0,0,2,228,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
172.217.0.110-192.168.10.20-443-57942-17,192.168.10.20,57942,172.217.0.110,443,17,7/9/2018 17:36,328829,26,29,5376,8122,1350,28,206.76923,365.9268,1350,20,280.06897,411.09296,41048.69096,167.26019,6089.42593,13888.07671,74314,0,328686,13147.44,19831.14375,74314,13,328596,11735.57143,25760.71539,127860,0,0,0,0,0,208,232,79.06845,88.19173,20,1350,265.14286,412.34273,170026.5247,0,0,0,0,0,0,0,0,1,269.96364,206.76923,280.06897,0,0,0,0,0,0,26,5376,29,8122,-1,-1,26,0,0,0,0,0,0,0,0,0,No Label
192.168.11.28-239.255.255.250-53995-1900-17,192.168.11.28,53995,239.255.255.250,1900,17,7/9/2018 17:32,3035902,3,1,522,174,174,174,174,0,174,174,174,0,229.25641,1.31757,1011967.333,2911.55669,1013782,1008609,2027293,1013646.5,191.62594,1013782,1013511,0,0,0,0,0,0,0,0,0,24,8,0.98817,0.32939,174,174,174,0,0,0,0,0,0,0,0,0,0,0,217.5,174,174,0,0,0,0,0,0,3,522,1,174,-1,-1,3,0,0,0,0,0,0,0,0,0,No Label
192.168.10.20-239.255.255.250-63292-1900-17,192.168.10.20,63292,239.255.255.250,1900,17,7/9/2018 17:35,3002057,3,1,522,174,174,174,174,0,174,174,174,0,231.84103,1.33242,1000685.667,837.09637,1001652,1000183,2000405,1000202.5,27.57716,1000222,1000183,0,0,0,0,0,0,0,0,0,24,8,0.99931,0.3331,174,174,174,0,0,0,0,0,0,0,0,0,0,0,217.5,174,174,0,0,0,0,0,0,3,522,1,174,-1,-1,3,0,0,0,0,0,0,0,0,0,No Label
192.168.27.29-239.255.255.250-57688-1900-17,192.168.27.29,57688,239.255.255.250,1900,17,7/9/2018 17:37,1001144,1,1,174,174,174,174,174,0,174,174,174,0,347.60234,1.99771,1001144,0,1001144,1001144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0.99886,0.99886,174,174,174,0,0,0,0,0,0,0,0,0,0,1,261,174,174,0,0,0,0,0,0,1,174,1,174,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
192.168.37.23-239.255.255.250-50313-1900-17,192.168.37.23,50313,239.255.255.250,1900,17,7/9/2018 17:34,3023204,3,1,522,174,174,174,174,0,174,174,174,0,230.21933,1.3231,1007734.667,7281.15419,1014879,1000324,2015203,1007601.5,10291.9392,1014879,1000324,0,0,0,0,0,0,0,0,0,24,8,0.99232,0.33077,174,174,174,0,0,0,0,0,0,0,0,0,0,0,217.5,174,174,0,0,0,0,0,0,3,522,1,174,-1,-1,3,0,0,0,0,0,0,0,0,0,No Label
192.168.17.20-239.255.255.250-61972-1900-17,192.168.17.20,61972,239.255.255.250,1900,17,7/9/2018 17:35,3000627,3,1,519,173,173,173,173,0,173,173,173,0,230.61847,1.33305,1000209,451.28816,1000728,999909,1999899,999949.5,57.27565,999990,999909,0,0,0,0,0,0,0,0,0,24,8,0.99979,0.33326,173,173,173,0,0,0,0,0,0,0,0,0,0,0,216.25,173,173,0,0,0,0,0,0,3,519,1,173,-1,-1,3,0,0,0,0,0,0,0,0,0,No Label
192.168.20.32-239.255.255.250-51884-1900-17,192.168.20.32,51884,239.255.255.250,1900,17,7/9/2018 17:34,15991339,4,1,392,98,98,98,98,0,98,98,98,0,30.64159,0.31267,3997834.75,2001435.816,5009121,995702,1.50E+07,4998545.667,9162.81711,5009121,4992977,0,0,0,0,0,0,0,0,0,32,8,0.25014,0.06253,98,98,98,0,0,0,0,0,0,0,0,0,0,0,117.6,98,98,0,0,0,0,0,0,4,392,1,98,-1,-1,4,0,5988679,0,5988679,5988679,5009121,0,5009121,5009121,No Label
192.168.255.255-192.168.1.1-138-138-17,192.168.1.1,138,192.168.255.255,138,17,7/9/2018 17:34,99628032,6,1,1157,186,209,186,192.83333,10.70358,186,186,186,0,13.48014,0.07026,1.66E+07,3.66E+07,9.13E+07,1,9.75E+07,1.95E+07,4.02E+07,9.13E+07,1,0,0,0,0,0,0,0,0,0,48,8,0.06022,0.01004,186,209,191.125,9.58328,91.83929,0,0,0,0,0,0,0,0,0,218.42857,192.83333,186,0,0,0,0,0,0,6,1157,1,186,-1,-1,6,0,8280296,0,8280296,8280296,9.13E+07,0,9.13E+07,9.13E+07,No Label
